iter	Passed	Remaining
821	1312	284
822	1314	282
823	1315	281
824	1317	279
825	1318	277
826	1319	276
827	1321	274
828	1323	272
829	1324	271
830	1325	269
831	1326	267
832	1328	266
833	1329	264
834	1331	263
835	1332	261
836	1333	259
837	1335	258
838	1336	256
839	1337	254
840	1339	253
841	1340	251
842	1341	249
843	1342	248
844	1344	246
845	1346	245
846	1347	243
847	1348	241
848	1349	240
849	1351	238
850	1352	236
851	1353	235
852	1355	233
853	1356	231
854	1357	230
855	1358	228
856	1360	226
857	1361	225
858	1362	223
859	1364	222
860	1365	220
861	1366	218
862	1368	217
863	1369	215
864	1370	213
865	1372	212
866	1373	210
867	1375	209
868	1376	207
869	1378	205
870	1380	204
871	1381	202
872	1382	201
873	1384	199
874	1386	198
875	1387	196
876	1389	194
877	1391	193
878	1392	191
879	1393	190
880	1395	188
881	1396	186
882	1397	185
883	1400	183
884	1401	182
885	1403	180
886	1405	179
887	1406	177
888	1407	175
889	1409	174
890	1410	172
891	1411	170
892	1413	169
893	1414	167
894	1416	166
895	1417	164
896	1418	162
897	1420	161
898	1421	159
899	1422	158
900	1423	156
901	1425	154
902	1426	153
903	1428	151
904	1429	150
905	1430	148
906	1432	146
907	1433	145
908	1434	143
909	1436	142
910	1437	140
911	1438	138
912	1440	137
913	1442	135
914	1443	134
915	1444	132
916	1446	130
917	1447	129
918	1449	127
919	1450	126
920	1451	124
921	1453	122
922	1454	121
923	1455	119
924	1457	118
925	1459	116
926	1460	115
927	1461	113
928	1463	111
929	1464	110
930	1465	108
931	1467	107
932	1468	105
933	1470	103
934	1471	102
935	1473	100
936	1474	99
937	1476	97
938	1478	96
939	1479	94
940	1481	92
941	1482	91
942	1484	89
943	1485	88
944	1487	86
945	1488	84
946	1490	83
947	1491	81
948	1493	80
949	1494	78
950	1495	77
951	1497	75
952	1498	73
953	1500	72
954	1502	70
955	1503	69
956	1504	67
957	1506	66
958	1507	64
959	1508	62
960	1510	61
961	1511	59
962	1513	58
963	1515	56
964	1516	55
965	1518	53
966	1519	51
967	1521	50
968	1522	48
969	1524	47
970	1527	45
971	1529	44
972	1531	42
973	1533	40
974	1535	39
975	1537	37
976	1538	36
977	1539	34
978	1541	33
979	1542	31
980	1544	29
981	1545	28
982	1547	26
983	1548	25
984	1549	23
985	1551	22
